업소명,소재지주소,영업상태명,지정일자,지정취소일자,재지정일자
명동칼국수,서울특별시 종로구 중학동 110-2 ,영업,20101122,20161205.0,20111125.0
우가돈가,서울특별시 종로구 명륜2가 8번지 ,영업,20101122,,20111125.0
명작 신의주 찹쌀순대,서울특별시 종로구 사직동 9 풍림스페이스본 202동 지상1층 104호 ,영업,20121127,,20231129.0
오복,서울특별시 종로구 관수동 39-1번지 ,영업,20101122,,20111125.0
홍복성,서울특별시 종로구 수송동 58 두산위브파빌리온 ,영업,20101122,20161205.0,20111125.0
평가옥,서울특별시 종로구 당주동 5 로얄빌딩 ,영업,20111125,,20231129.0
뉴믹스커피 북촌,서울특별시 종로구 계동 140-43 ,영업,20150915,20240215.0,20231129.0
나무향기,서울특별시 종로구 당주동 145 ,영업,20101122,,20231129.0
옛날집,서울특별시 종로구 숭인동 72-61번지 1층 ,영업,20150915,,20161205.0
토방,서울특별시 종로구 효자동 30번지 ,영업,20111125,,
삼대,서울특별시 종로구 돈의동 28 ,영업,20171130,,20231129.0
미락한식뷔페,서울특별시 종로구 관수동 14-2번지 ,영업,20150915,,20161205.0
남도 미가,"서울특별시 종로구 종로1가 24번지 르메이레종로타운B106-1,B107-1,2 ",영업,20150915,,20161205.0
55번지 라면,서울특별시 종로구 화동 55-1번지 지상1층 ,영업,20121127,,20161205.0
주모,서울특별시 종로구 인사동 5번지 ,영업,20150915,,20161205.0
다솔,서울특별시 종로구 수송동 80 지하1층 ,영업,20141230,,20231129.0
박가네,서울특별시 종로구 종로5가 138-10 ,영업,20180119,,20231129.0
오두막,서울특별시 종로구 도렴동 150-6 ,영업,20180119,,20231129.0
일산칼국수,서울특별시 종로구 관철동 7-16 ,영업,20161205,,20231129.0
말뚜기 감자탕,서울특별시 종로구 창신동 581-30 1층 ,영업,20211216,,20231129.0
청진옥,서울특별시 종로구 청진동 183-1 ,영업,20161205,,20231129.0
스윗샐러드,서울특별시 종로구 중학동 19 더케이트윈타워 ,영업,20210325,,20231129.0
너구리 소굴,서울특별시 종로구 관철동 14-5 ,영업,20211216,,20231129.0
도담 1988,서울특별시 종로구 관훈동 30-16 ,영업,20211230,,20231129.0
(주) 육전국밥대학로점,서울특별시 종로구 동숭동 1-43 한석빌딩 ,영업,20241106,,
안동장,서울특별시 중구 을지로3가 315-18 ,영업,20120529,,20241120.0
남포면옥,서울특별시 중구 다동 125 지상1층 ,영업,20010813,20161214.0,20151109.0
오장동흥남집,서울특별시 중구 오장동 101-7 지하1층~지상3층 ,영업,20010813,,20241120.0
대원집,서울특별시 중구 다동 124-2 ,영업,20031013,20161214.0,20151109.0
주식회사 명동교자,서울특별시 중구 명동2가 33-4 ,영업,20010813,20210226.0,20201104.0
브라운치킨,서울특별시 중구 을지로6가 18-52 ,영업,20010813,20151109.0,20061222.0
명동미성옥,서울특별시 중구 명동1가 54-5 ,영업,20141113,,20241120.0
배재반점,서울특별시 중구 서소문동 55-1 지하1층 ,영업,20091216,,20241120.0
오발탄,서울특별시 중구 충무로4가 133-10 ,영업,20111222,,20241120.0
화육계,서울특별시 중구 을지로3가 296-6 ,영업,20010813,20221229.0,20211220.0
함흥냉면,서울특별시 중구 오장동 90-10 ,영업,20061222,,20241120.0
미조리,서울특별시 중구 북창동 5-2 ,영업,20020417,20151109.0,20061222.0
대복,서울특별시 중구 북창동 65-2 ,영업,20061222,,20241120.0
진주회관,서울특별시 중구 서소문동 120-35 ,영업,20010813,,20241120.0
세림,서울특별시 중구 다동 175-0 ,영업,20031013,,20241120.0
만복림,서울특별시 중구 남대문로5가 631 STX 남산타워 (지하1층) ,영업,20010813,20211220.0,20201104.0
동방명주,서울특별시 중구 필동1가 37-3 ,영업,20181213,20211220.0,20201104.0
고려삼계탕,서울특별시 중구 서소문동 55-3 ,영업,20241120,,
무교동북어국집,서울특별시 중구 다동 173-0 ,영업,20121221,,20241120.0
만복림,서울특별시 중구 무교동 31-0 ,영업,20010813,20211220.0,20201104.0
명동함흥면옥,서울특별시 중구 명동2가 26-1 1층.2층 ,영업,20061222,,20241120.0
하타네,서울특별시 중구 을지로3가 296-4 ,영업,20120529,20211220.0,20201104.0
오징어 풍경,서울특별시 중구 무교동 11 광일빌딩 ,영업,20241120,,
